date,year,district,address,race,sex,age,category,weapon
01/20/2001,2001,19,"5215 Stiles St., Philadelphia, PA",B,M,20,shooting,Firearm
01/20/2001,2001,24,"100 E. Somerset St., Philadelphia, PA",B,M,38,shooting,Firearm
01/21/2001,2001,23,"2047 N. Turner St., Philadelphia, PA",B,M,19,shooting,Firearm
01/21/2001,2001,39,"2813 Allegheny Ave., Philadelphia, PA",B,F,43,shooting,Firearm
01/21/2001,2001,24,"3041 Weikel St., Philadelphia, PA",W,M,31,shooting,Firearm
01/21/2001,2001,2,"5911 Frontnac St., Philadelphia, PA",W,M,25,shooting,Firearm
01/22/2001,2001,25,"2912 Palethorpe St., Philadelphia, PA",B,M,22,shooting,Firearm
01/22/2001,2001,01,"2000 S. Beechwood St., Philadelphia, PA",W,M,30,shooting,Firearm
01/22/2001,2001,04,"2519 Juniper St., Philadelphia, PA",B,M,32,shooting,Firearm
01/22/2001,2001,17,"2336 Pierce St., Philadelphia, PA",B,F,28,shooting,Firearm
01/22/2001,2001,35,"4925 N. 16th St., Philadelphia, PA",B,M,53,shooting,Firearm
01/23/2001,2001,14,"Chew Ave. &  Hortter St., Philadelphia, PA",B,M,25,shooting,Firearm
01/23/2001,2001,16,"5061 Parrish St., Philadelphia, PA",B,M,20,shooting,Firearm
01/23/2001,2001,39,"3640 N. 18th St., Philadelphia, PA",B,M,19,shooting,Firearm
01/23/2001,2001,19,"104 N. 63rd St., Philadelphia, PA",B,M,52,shooting,Firearm
01/23/2001,2001,25,"4610 N. Front St., Philadelphia, PA",B,M,43,shooting,Firearm
01/24/2001,2001,12,"Edgewood & Greenway Sts., Philadelphia, PA",B,M,26,shooting,Firearm
01/24/2001,2001,26,"50 W. Lehigh Ave., Philadelphia, PA",W,M,30,shooting,Firearm
01/24/2001,2001,35,"219 E. Albanus St., Philadelphia, PA",B,M,26,shooting,Firearm
01/24/2001,2001,12,"2100 Edgewood St., Philadelphia, PA",B,M,25,shooting,Firearm
01/24/2001,2001,39,"3637 N. 18th St., Philadelphia, PA",B,M,18,shooting,Firearm
