DATE,YEAR,DIST,LOCATION,R,S,L,AGE
02/19/2001,2001,26,2042 Coral,W,M,N,21
02/19/2001,2001,39,17th&Butler,B,M,N,18
02/19/2001,2001,12,72nd&Woodland,B,M,N,27
02/19/2001,2001,25,8th&Erie,B,M,N,19
02/19/2001,2001,25,6th&Pike,W,M,Y,19
02/20/2001,2001,22,3238 Page,B,M,N,25
02/21/2001,2001,22,2401 N. 16th,B,M,N,38
02/21/2001,2001,22,2401 N. 16th,B,M,N,48
02/21/2001,2001,19,726 Atwood,B,M,N,20
02/21/2001,2001,19,210 N. 53rd,B,M,N,21
02/21/2001,2001,22,31st&Cumberland,B,M,N,18
02/21/2001,2001,22,2401 N. 16th,B,F,N,23
02/21/2001,2001,22,2401 N. 16th,B,M,N,43
02/21/2001,2001,14,19th&Cheltenham,B,M,N,34
02/21/2001,2001,22,2401 N. 16th,B,M,N,35
02/22/2001,2001,12,5800 Chester,B,M,N,20
02/22/2001,2001,23,Broad&Girard,B,M,N,20
02/22/2001,2001,19,Conestoga&Master,B,M,N,23
02/23/2001,2001,19,1600 Redfield,B,M,N,20
02/23/2001,2001,35,1440 W. Cheltenham,B,F,N,51
02/24/2001,2001,35,9th&Lindley,B,M,N,27
02/24/2001,2001,23,2031 Master,B,M,N,49
02/24/2001,2001,18,600 S. Yewdall,B,M,N,18
02/24/2001,2001,26,2128 E. Huntingdon,W,F,N,46
02/24/2001,2001,26,600 W. Diamond,W,M,N,18
02/25/2001,2001,25,Germantown&Victoria,B,M,N,29
02/25/2001,2001,24,2061 Orleans,W,M,N,35
02/25/2001,2001,24,2061 Orleans,W,M,N,31
02/25/2001,2001,22,2437 N. 32nd,B,M,N,28
02/25/2001,2001,12,6900 Elmwood,W,M,N,20
02/25/2001,2001,12,5235 Woodland,B,M,N,28
02/25/2001,2001,24,2061 Orleans,W,M,N,35
02/26/2001,2001,23,1504 N. 19th,B,M,N,29
02/26/2001,2001,14,7751 Cedarbrook,B,M,N,14
02/27/2001,2001,09,15th&Green,B,M,N,22
02/27/2001,2001,06,Broad&Spring Garden,B,M,N,19
02/28/2001,2001,35,Upsal&Cedarbrook,B,M,N,46
02/28/2001,2001,24,3147 Custer,B,M,N,41
03/01/2001,2001,12,1810 S. Allison,B,M,N,33
03/01/2001,2001,17,2213 Watkins,B,M,N,19
03/02/2001,2001,18,55th&Walnut,B,M,N,19
03/02/2001,2001,22,2500 W. Lehigh,B,M,N,36
03/02/2001,2001,14,1546 Wynsam,B,M,N,29
03/02/2001,2001,16,Baring&Saunders,B,M,N,30
03/02/2001,2001,16,3745 Wallace,B,M,N,29
03/03/2001,2001,25,,B,M,N,22
03/03/2001,2001,18,5600 Sansom,B,M,N,23
03/03/2001,2001,25,100 W. Somerset,B,M,N,25
03/03/2001,2001,25,100 W. Somerset,B,M,N,25
03/04/2001,2001,16,51 N. 39th,B,M,N,35
03/04/2001,2001,15,4420 Elizabeth,B,M,N,23
03/04/2001,2001,17,1700 Bancroft,B,M,N,26
03/04/2001,2001,16,40th&Ogden,B,M,N,35
03/05/2001,2001,12,5800 Lindberg,B,M,N,29
03/05/2001,2001,19,6200 Vine,B,F,N,32
03/05/2001,2001,39,246 Berkley,B,M,N,30
03/05/2001,2001,35,5600 N. 6th,B,M,N,20
03/05/2001,2001,17,2400 Morris,B,M,N,30
03/06/2001,2001,12,6165 Elmwood,W,M,N,18
03/06/2001,2001,39,246 Berkley,B,M,N,30
03/06/2001,2001,39,2500 W. Cambria,B,M,N,27
03/06/2001,2001,35,5600 N. 6th,B,M,N,20
03/06/2001,2001,35,Broad&Clearview,B,M,N,26
03/06/2001,2001,22,3223 W. Susquehanna,B,F,N,23
03/06/2001,2001,16,3800 Baring,B,M,N,23
03/06/2001,2001,25,800 W. Bristol,B,F,N,27
03/06/2001,2001,12,60th&Chester,B,M,N,19
03/06/2001,2001,25,,B,M,N,22
03/06/2001,2001,22,2456 N. Douglas,B,M,N,42
03/06/2001,2001,25,800 W. Bristol,B,M,N,25
03/08/2001,2001,39,1500 W. Clearfield,B,M,N,28
03/09/2001,2001,24,256 E. Elkhart,W,M,Y,27
03/10/2001,2001,14,Haines&Wister,B,F,N,37
03/11/2001,2001,2,Bingham&Godfrey,B,F,N,35
03/11/2001,2001,14,Chelten&Bloyd,B,M,N,22
03/11/2001,2001,12,1433. 58th,B,M,N,15
03/12/2001,2001,24,D&Cambria,W,M,N,21
03/12/2001,2001,22,1800 Etting,B,M,N,17
03/13/2001,2001,25,700 W. Allegheny,W,M,N,20
03/14/2001,2001,19,Lancaster&Malvern,B,M,N,19
03/14/2001,2001,12,5800 Baltimore,B,M,N,21
03/14/2001,2001,35,700 W. Lindley,B,F,N,28
03/14/2001,2001,26,558 W. Cumberland,B,M,N,23
03/15/2001,2001,26,5th&Thompson,B,M,N,22
03/15/2001,2001,07,737 RedLion Road,W,M,N,42
03/15/2001,2001,22,3000 Dakota,B,F,N,30
03/16/2001,2001,16,4108 Lancaster,B,M,N,22
03/17/2001,2001,24,220 E.Cambria,W,M,Y,28
03/17/2001,2001,19,5417 Master,B,M,N,20
03/18/2001,2001,25,4300 Marshall,W,M,N,20
03/18/2001,2001,12,5430 Malcolm,B,M,N,19
03/19/2001,2001,24,2900 C,W,M,Y,22
03/19/2001,2001,25,517 E. Westmoreland,W,M,N,23
03/20/2001,2001,16,862 N. Brooklyn,B,M,N,22
03/20/2001,2001,35,2130 W. Spencer,B,M,N,20
03/20/2001,2001,25,1300 W. Venango,B,M,N,15
03/20/2001,2001,19,5200 Berks,B,M,N,20
03/21/2001,2001,15,4317 Teesdale,W,M,N,37
03/21/2001,2001,18,213 S. 46th,B,M,N,35
03/22/2001,2001,18,54th&Cedar,B,M,N,29
03/22/2001,2001,26,1431 Leithgow,W,M,Y,40
03/22/2001,2001,14,Belfield&Tulpehocken,B,M,N,20
03/22/2001,2001,25,719 W. Schiller,B,M,N,28
03/22/2001,2001,25,4700 Ella,B,M,N,25
03/22/2001,2001,17,1800 Dickinson,B,M,N,27
03/23/2001,2001,17,20th&Catherine,B,M,N,40
03/23/2001,2001,14,6860 Forrest,B,M,N,20
03/23/2001,2001,35,302 W. Ruscomb,W,M,Y,30
03/24/2001,2001,14,5534 Blakemore,B,F,N,15
03/24/2001,2001,35,500 Ruscomb,W,M,N,24
03/24/2001,2001,12,53rd&Woodland,B,M,N,35
03/24/2001,2001,19,5200 Parkside,B,M,N,46
03/24/2001,2001,18,5443 Addison,B,M,N,37
03/24/2001,2001,17,2700 Earp,B,M,N,24
03/24/2001,2001,19,1338 N. 56th,B,M,N,32
03/24/2001,2001,22,Broad&Dauphin,B,M,N,22
03/24/2001,2001,12,6542 Gesner,W,M,Y,35
03/24/2001,2001,26,800 W. Girard,B,M,N,18
03/24/2001,2001,25,300 W. Ontario,W,M,Y,22
03/25/2001,2001,26,1001 N. Delaware,W,M,Y,17
03/25/2001,2001,14,900 E. Woodland,B,M,N,48
03/25/2001,2001,14,800 E. Woodlawn,B,M,N,16
03/26/2001,2001,18,4400 Market,B,M,N,28
03/26/2001,2001,18,5600 Catherine,B,M,N,20
03/26/2001,2001,92,4300 Belmont,B,M,N,15
03/26/2001,2001,39,2500 Somerset,B,M,N,43
03/26/2001,2001,26,643 W. Oxford,W,M,Y,59
03/26/2001,2001,23,2350 W. Thompson,B,M,N,19
03/26/2001,2001,18,5600 Catherine,B,M,N,26
03/26/2001,2001,18,5600 Catherine,B,M,N,30
03/26/2001,2001,23,2200 Oxford,B,M,N,20
03/26/2001,2001,17,2700 Dickenson,B,M,N,25
03/27/2001,2001,22,1800 N. 12th,B,M,N,19
03/27/2001,2001,16,3930 Brown,B,M,N,25
03/28/2001,2001,39,Wayne&Sylvania,B,M,N,27
03/28/2001,2001,35,1937 Spencer,B,M,N,28
03/28/2001,2001,35,189 Rosmar,B,M,N,20
03/30/2001,2001,25,101 W. Courtland,W,M,Y,21
03/30/2001,2001,25,3600 Marshall,W,M,Y,23
03/30/2001,2001,2,6515 Castor,W,M,N,35
03/30/2001,2001,19,101 N. 53rd,B,M,N,41
03/30/2001,2001,18,49th&Florence,B,M,N,20
03/30/2001,2001,17,1500 Chadwick,B,M,N,30
03/30/2001,2001,25,101 W. Courtland,W,M,Y,15
03/30/2001,2001,12,5200 Warrington,B,M,N,21
03/31/2001,2001,15,1900 Fillmore,B,M,N,20
04/01/2001,2001,22,3100 W. Cumberland,B,M,N,20
04/02/2001,2001,12,1604 S. 56th,B,F,N,20
04/03/2001,2001,18,270 S. 52nd,B,M,N,19
04/03/2001,2001,12,1339 S. Lindenwood,B,M,N,27
04/04/2001,2001,12,1622 S. 58th,B,F,N,18
04/04/2001,2001,12,1622 S. 58th,B,F,N,16
04/04/2001,2001,19,6200 Vine,B,M,N,26
04/04/2001,2001,01,2200 Moore,B,F,N,06
04/04/2001,2001,19,6200 Vine,B,F,N,23
04/04/2001,2001,19,6200 Vine,B,M,N,59
04/06/2001,2001,17,2240 Montrose,B,M,N,21
04/06/2001,2001,12,1742 S. Yewdall,B,M,N,42
04/06/2001,2001,22,2400 N. Newkirk,B,M,N,50
04/06/2001,2001,22,2343 Beechwood,B,M,N,50
04/06/2001,2001,26,2460 Germantown,B,M,N,31
04/06/2001,2001,19,243 Ruby,B,M,N,20
04/06/2001,2001,39,4140 N. Broad,B,M,N,23
