CaseNumber,Date,Year,District,Location,LocationDir,LocationStreet,Age,Race,Sex,Hispanic,UCR,Weapon
M06132,5/10/2006,2006,01,2101,,MCKEAN STREET,23,B,M,N,111,HANDGUN
M06133,5/11/2006,2006,17,1129,S,18TH STREET,19,B,M,N,111,HANDGUN
M06134,5/12/2006,2006,24,4020,,NEILSON STREET,21,W,F,N,111,HANDGUN
M06135,5/12/2006,2006,12,6100,,PASSYUNK AVENUE,19,B,M,N,111,HANDGUN
M06136,5/12/2006,2006,17,2200,,WATKINS STREET,18,B,M,N,111,HANDGUN
M06137,5/13/2006,2006,04,623,,PORTER STREET,20,B,M,N,111,HANDGUN
M06138,5/14/2006,2006,19,5603,,ARCH STREET,34,B,M,N,111,HANDGUN
M06139,5/15/2006,2006,24,2933,,RUTH STREET,24,W,F,N,111,HANDGUN
M06140,5/15/2006,2006,22,2466,N,CLEVELAND STREE,46,B,M,N,111,HANDGUN
M06141,5/16/2006,2006,04,2901,S,RANDOLPH STREET,41,W,M,N,111,HANDGUN
M06142,5/16/2006,2006,18,3700,,SPRUCE STREET,23,B,M,N,111,HANDGUN
M06143,5/20/2006,2006,22,2569,N,NAPA STREET,34,B,M,N,111,HANDGUN
M06144,5/21/2006,2006,24,3612,,TULIP STREET,53,W,M,N,111,HANDGUN
M06145,5/21/2006,2006,24,3612,,TULIP STREET,50,W,F,N,111,HANDGUN
M06146,5/21/2006,2006,24,3612,,TULIP STREET,20,W,M,N,111,HANDGUN
M06147,5/26/2006,2006,19,1800,N,54TH STREET,19,B,M,N,111,HANDGUN
M06148,5/28/2006,2006,12,5541,,PENTRIDGE STREE,51,B,M,N,111,HANDGUN
M06150,5/30/2006,2006,09,1401,,RACE STREET,18,B,M,N,111,HANDGUN
M06151,5/31/2006,2006,26,1712,N,MASCHER STREET,48,W,M,N,111,handgun
M06152,6/1/2006,2006,26,400,E,MOYER STREET,21,W,M,N,111,HANDGUN
M06154,6/1/2006,2006,39,3702,N,BROAD STREET,32,A,M,N,111,HANDGUN
M06155,6/1/2006,2006,39,3702,N,BROAD STREET,36,A,M,N,111,HANDGUN
M06156,6/1/2006,2006,19,565,N,WANAMAKER STREE,29,B,M,N,111,HANDGUN
M06157,6/2/2006,2006,25,3911,N,9TH STREET,29,B,M,N,111,HANDGUN
M06158,6/5/2006,2006,12,2600,S,75TH STREET,30,B,M,N,111,HANDGUN
M06159,6/6/2006,2006,25,4602,,HURLEY STREET,23,B,M,N,111,HANDGUN
M06161,6/6/2006,2006,12,7100,,WOODLAND AVENUE,20,B,M,N,111,HANDGUN
M06162,6/6/2006,2006,39,350,W,QUEEN LANE,21,B,M,N,111,HANDGUN
M06163,6/7/2006,2006,25,3705,,GERMANTOWN AVEN,44,B,M,N,111,HANDGUN
M06164,6/7/2006,2006,35,4800,N,WARNOCK STREET,20,B,M,N,111,HANDGUN
M06165,6/7/2006,2006,35,4800,N,WARLOCK STREET,20,B,M,N,111,HANDGUN
M06166,6/9/2006,2006,12,5547,,REGENT STREET,31,B,M,N,111,HANDGUN
M06167,6/12/2006,2006,17,1935,,GERRITT STREET,20,B,M,N,111,HANDGUN
M06168,6/13/2006,2006,24,4137,,O STREET,40,W,M,Y,111,HANDGUN
M06169,6/15/2006,2006,25,3400,,E STREET,20,B,M,N,111,HANDGUN
M06170,6/17/2006,2006,25,4535,N,5TH STREET,22,W,M,Y,111,HANDGUN
M06171,6/19/2006,2006,02,6741,,KINDRED STREET,24,B,M,N,111,HANDGUN
M06172,6/19/2006,2006,02,6741,,KINDRED STREET,25,B,M,N,111,HANDGUN
M06174,6/21/2006,2006,19,5501,,RACE ST,21,B,M,N,111,HANDGUN
M06175,6/23/2006,2006,22,1500,W,SERGEANT STREET,20,B,M,N,111,HANDGUN
M06176,6/23/2006,2006,39,1630,W,WINGOHOCKING ST,30,B,M,N,111,HANDGUN
M06177,6/23/2006,2006,25,3500,,PALETHORPE STRE,31,W,M,Y,111,HANDGUN
M06178,6/26/2006,2006,35,6400,N,20TH STREET,22,B,M,N,111,HANDGUN
M06180,6/27/2006,2006,35,4532,,OLD YORK ROAD,35,B,M,N,111,HANDGUN
M06181,6/27/2006,2006,15,4422,E,WINGOHOCKING ST,25,W,M,Y,111,HANDGUN
M06182,6/27/2006,2006,23,2604,W,MONTGOMERY AVEN,18,B,M,N,111,HANDGUN
M06183,6/27/2006,2006,14,6439,,CHEROKEE STREET,28,B,F,N,111,HANDGUN
M06184,6/28/2006,2006,12,2637,S,DEWEY STREET,20,B,M,N,111,HANDGUN
M06186,7/1/2006,2006,12,1301,S,60 ST,19,B,M,N,111,HANDGUN
M06187,7/1/2006,2006,01,2100,S,HICKS,30,W,M,Y,111,HANDGUN
M06188,7/1/2006,2006,17,2229,,WATKINS ST,27,B,F,N,111,HANDGUN
M06189,7/2/2006,2006,25,4052,N,8TH ST,22,B,M,Y,111,HANDGUN
M06190,7/3/2006,2006,12,8500,,MARIO LANZA BLV,55,W,M,N,111,HANDGUN
M06191,7/3/2006,2006,25,300,,INDIANNA AVE,21,B,M,N,111,HANDGUN
M06192,7/6/2006,2006,14,8201,,STENTON AVENUE,27,B,M,N,111,HANDGUN
M06193,7/6/2006,2006,12,1634,S,58TH STREET,18,B,M,N,111,HANDGUN
M06194,7/6/2006,2006,39,3700,N,16TH STREET,15,B,M,N,111,HANDGUN
M06196,7/8/2006,2006,12,6001,,REINHARD STREET,40,W,M,N,111,HANDGUN
M06197,7/9/2006,2006,16,200,N,CREIGHTON STREE,24,B,M,N,111,HANDGUN
M06199,7/10/2006,2006,01,1808,S,20TH STREET,19,B,M,N,111,HANDGUN
M06200,7/11/2006,2006,02,7014,,RUTLAND STREET,27,W,M,Y,111,HANDGUN
M06201,7/11/2006,2006,12,2059,S,60TH STREET,48,B,F,N,111,HANDGUN
M06202,7/12/2006,2006,07,2301,,"TREMONT ST,G-1",21,B,M,N,111,HANDGUN
M06203,7/12/2006,2006,07,2301,,"TREMONT ST,G-1",18,B,M,N,111,HANDGUN
M06205,7/14/2006,2006,35,4808,N,5TH STREET,64,W,M,Y,111,HANDGUN
M06206,7/15/2006,2006,26,2400,N,LEITHGOW STREET,27,B,M,N,111,HANDGUN
M06207,7/15/2006,2006,18,1379,S,46TH STREET,25,B,M,N,111,HANDGUN
M06208,7/15/2006,2006,26,2636,,CORAL STREET,23,W,M,Y,111,HANDGUN
M06209,7/15/2006,2006,12,1762,S,AVONDALE STREET,21,B,M,N,111,HANDGUN
M06210,7/15/2006,2006,12,7244,,ELMWOOD AVENUE,29,B,M,N,111,HANDGUN
M06211,7/16/2006,2006,01,2200,W,JACKSON STREET,33,B,M,N,111,HANDGUN
M06212,7/17/2006,2006,39,4255,,HICKS STREET,24,B,M,N,111,HANDGUN
M06213,7/17/2006,2006,18,4640,,CHESTNUT STREET,56,B,M,N,111,HANDGUN
M06214,7/17/2006,2006,04,642,,EMILY STREET,40,B,M,N,111,HANDGUN
M06216,7/18/2006,2006,04,2545,S,11TH STREET,18,W,M,N,111,HANDGUN
M06217,7/18/2006,2006,26,1800,E,ALBERT STREET,34,W,M,Y,111,HANDGUN
M06218,7/19/2006,2006,16,653,N,CREIGHTON STREE,35,B,M,N,111,HANDGUN
M06221,7/23/2006,2006,14,2026,E,TULPEHOCKEN STR,41,B,M,N,111,HANDGUN
M06222,7/24/2006,2006,15,5000,,PRINCETON AVE,23,W,M,N,111,HANDGUN
M06223,7/26/2006,2006,16,3309,,WALLACE ST,23,B,M,N,111,HANDGUN
M06224,7/27/2006,2006,17,1825,,FEDERAL ST,19,B,M,N,111,HANDGUN
M06225,7/27/2006,2006,19,300,N,55TH ST,26,B,M,N,111,HANDGUN
M06226,7/27/2006,2006,14,5600,,NELSON ST,17,B,M,N,111,HANDGUN
M06227,7/28/2006,2006,15,5032,,JACKSON ST,21,B,M,N,111,HANDGUN
M06228,7/28/2006,2006,16,43,N,52 ST,47,B,M,N,111,HANDGUN
M06229,7/28/2006,2006,15,4600,,LEIPER ST,23,B,M,N,111,HANDGUN
M06230,7/29/2006,2006,24,3356,,ARAMINGO AVE,34,W,M,Y,111,HANDGUN
M06231,7/29/2006,2006,39,2126,W,CAMBRIA ST,23,B,M,N,111,HANDGUN
M06232,7/30/2006,2006,02,376,,STEVENS ST,34,B,M,N,111,HANDGUN
M06233,7/31/2006,2006,16,5100,,PARRISH ST,38,B,M,N,111,HANDGUN
M06236,8/4/2006,2006,39,1700,,PACIFIC ST,33,B,M,N,111,HANDGUN
M06237,8/4/2006,2006,06,328,S,11TH STREET,19,B,M,N,111,HANDGUN
M06238,8/4/2006,2006,18,600,S,49TH STREET,26,B,M,N,111,HANDGUN
M06239,8/7/2006,2006,18,4500,,BALTIMORE AVENU,23,B,M,N,111,HANDGUN
M06240,8/9/2006,2006,25,3300,N,9TH STREET,30,W,M,Y,111,HANDGUN
M06241,8/11/2006,2006,03,400,,CHRISTIAN STREE,20,B,M,N,111,HANDGUN
M06242,8/11/2006,2006,22,2629,W,MONTGOMERY AVE,18,B,M,N,111,HANDGUN
M06243,8/11/2006,2006,15,1500,,CHURCH STREET,16,B,M,N,111,HANDGUN
M06244,8/14/2006,2006,35,5600,N,BROAD STREET,27,B,M,N,111,HANDGUN
M06246,8/17/2006,2006,25,300,E,RUSCOMB STREET,20,B,M,N,111,HANDGUN
M06247,8/18/2006,2006,25,4011,N,FAIRHILL STREET,26,B,M,N,111,HANDGUN
M06248,8/18/2006,2006,39,4348,,WAYNE AVENUE,25,B,M,N,111,HANDGUN
M06249,8/19/2006,2006,26,2344,N,3RD STREET,32,B,M,N,111,HANDGUN
M06251,8/20/2006,2006,12,2900,S,81ST STREET,19,B,M,N,111,HANDGUN
M06252,8/23/2006,2006,16,724,N,49TH STREET,33,B,F,N,111,HANDGUN
M06254,8/23/2006,2006,26,1257,N,10TH STREET,22,B,M,N,111,HANDGUN
M06255,8/24/2006,2006,23,1600,N,25TH STREET,17,B,M,N,111,HANDGUN
M06267,9/6/2006,2006,22,1514,W,YORK STREET,18,B,M,N,111,HANDGUN
M06268,9/7/2006,2006,26,800,W,SUSQUEHANNA AVE,41,B,M,N,111,HANDGUN
M06271,9/13/2006,2006,15,4900,,JACKSON STREET,18,B,M,N,111,HANDGUN
M06272,9/15/2006,2006,04,2028,S,5TH STREET,22,A,M,N,111,HANDGUN
M06274,9/16/2006,2006,22,3005,W,DAUPHIN STREET,55,B,M,N,111,HANDGUN
M06275,9/17/2006,2006,16,4947,,OGDEN STREET,19,B,M,N,111,HANDGUN
M06276,9/19/2006,2006,22,1700,W,HUNTINGDON STRE,19,B,M,N,111,HANDGUN
M06277,9/20/2006,2006,09,603,N,17TH STREET,38,B,M,Y,111,HANDGUN
M06278,9/20/2006,2006,22,2100,N,DOVER STREET,18,B,M,N,111,HANDGUN
M06279,9/20/2006,2006,22,1112,W,HUNTINGDON STRE,45,B,M,N,111,HANDGUN
M06280,9/22/2006,2006,23,2350,w,NICHOLAS ST,20,B,M,N,111,HANDGUN
M06281,9/22/2006,2006,19,6100,,LANDSDOWNE AVE,19,B,M,N,111,HANDGUN
M06283,9/22/2006,2006,15,1521,,WOMRATH STREET,21,B,M,N,111,HANDGUN
M06285,9/23/2006,2006,26,228,W,HAZZARD STREET,18,B,M,Y,111,HANDGUN
M06286,9/24/2006,2006,14,5600,,NELSON STREET,40,B,M,N,111,HANDGUN
M06287,9/24/2006,2006,22,2500,N,34TH STREET,5,B,F,N,111,HANDGUN
M06289,9/24/2006,2006,26,1500,N,RANDOLPH STREET,21,B,M,N,111,HANDGUN
M06291,9/27/2006,2006,18,6052,,LOCUST STREET,24,B,M,N,111,HANDGUN
M06292,9/27/2006,2006,39,2810,N,LAMBERT STREET,30,B,M,N,111,HANDGUN
M06293,9/29/2006,2006,26,415,W,CUMBERLAND ST,60,W,M,Y,111,HANDGUN
M06294,9/30/2006,2006,25,4352,N,7TH STREET,23,B,M,N,111,HANDGUN
M06295,9/30/2006,2006,39,3000,N,CARLISLE ST,47,B,M,N,111,HANDGUN
M06296,10/2/2006,2006,39,4215,N,SYDENHAM STREET,30,B,M,N,111,HANDGUN
M06297,10/2/2006,2006,12,6012,,GREENWAY AVENUE,48,B,M,N,111,HANDGUN
M06298,10/2/2006,2006,12,1720,S,55TH STREET,26,B,M,N,111,HANDGUN
M06299,10/2/2006,2006,12,1720,S,55TH STREET,17,B,M,N,111,HANDGUN
M06301,10/3/2006,2006,12,2001,S,60TH STREET,50,B,F,N,111,HANDGUN
M06302,10/3/2006,2006,01,2218,S,HEMBERGER STREE,17,B,M,N,111,HANDGUN
M06306,10/4/2006,2006,25,1100,W,ERIE AVENUE,23,W,M,Y,111,HANDGUN
M06307,10/5/2006,2006,16,3300,,HAVERFORD AVE,24,B,M,N,111,HANDGUN
M06308,10/5/2006,2006,17,1800,,WHARTON STREET,19,B,M,N,111,HANDGUN
M06309,10/5/2006,2006,12,1900,S,56TH STREET,25,B,M,N,111,HANDGUN
M06310,10/5/2006,2006,15,1500,,ROSALIE STREET,29,W,M,N,111,HANDGUN
M06311,10/6/2006,2006,22,2500,N,CLEVELAND STREE,30,B,M,N,111,HANDGUN
M06312,10/7/2006,2006,19,106,N,MILLICK STREET,21,B,M,N,111,HANDGUN
M06313,10/7/2006,2006,12,1050,S,FRAZIER STREET,27,B,M,N,111,HANDGUN
M06314,10/11/2006,2006,06,635,,FRANKLIN PLACE,19,B,M,N,111,HANDGUN
M06315,10/12/2006,2006,22,1837,N,24TH STREET,38,B,M,N,111,HANDGUN
M06316,10/13/2006,2006,39,2954,,DENNIE STREET,28,B,M,N,111,HANDGUN
M06317,10/15/2006,2006,22,2600,N,16TH STREET,22,B,M,N,111,HANDGUN
M06318,10/15/2006,2006,22,1935,N,24TH STREET,49,B,M,N,111,HANDGUN
M06320,10/16/2006,2006,01,1900,,MCCLELLAN ST,24,B,M,N,111,HANDGUN
M06321,10/17/2006,2006,22,2037,N,11TH STREET,25,B,M,N,111,HANDGUN
M06322,10/18/2006,2006,18,4847,,WALNUT STREET,24,B,M,N,111,HANDGUN
M06323,10/18/2006,2006,24,1940,E,MONMOUTH STREET,21,B,M,N,111,HANDGUN
M06324,10/20/2006,2006,09,1800,,WALLACE STREET,22,B,M,N,111,HANDGUN
M06325,10/20/2006,2006,22,2562,N,NAPA STREET,42,B,M,N,111,HANDGUN
M06326,10/21/2006,2006,35,1914,,CONLYN STREET,37,B,F,N,111,HANDGUN
M06327,10/22/2006,2006,15,2072,,MARGARET STREET,27,B,M,N,111,HANDGUN
M06328,10/22/2006,2006,35,6337,,NORWOOD STREET,36,B,M,N,111,HANDGUN
M06329,10/22/2006,2006,19,104,N,54TH STREET,31,B,M,N,111,HANDGUN
M06330,10/26/2006,2006,04,741,,CANTRELL STREET,19,B,M,N,111,HANDGUN
M06332,10/29/2006,2006,17,2637,,LATONA STREET,19,B,M,N,111,HANDGUN
M06333,10/30/2006,2006,35,6614,N,SMEDLEY STREET,40,W,M,Y,111,HANDGUN
M06334,10/30/2006,2006,15,2039,,ORTHODOX STREET,51,W,M,Y,111,HANDGUN
M06336,10/31/2006,2006,39,3300,W,WESTMORELAND ST,30,B,M,N,111,HANDGUN
M06337,10/31/2006,2006,23,1525,N,NEWKIRK STREET,80,B,M,N,111,HANDGUN
M06338,11/1/2006,2006,03,1302,,ELLSWORTH STREE,27,W,M,Y,111,HANDGUN
M06341,11/4/2006,2006,22,1900,,GLENWOOD AVENUE,28,B,M,N,111,HANDGUN
M06343,11/5/2006,2006,19,520,N,61ST STREET,31,B,M,N,111,HANDGUN
M06344,11/5/2006,2006,35,4600,N,9TH STREET,30,B,M,N,111,HANDGUN
M06346,11/7/2006,2006,22,2116,N,20TH STREET,23,B,M,N,111,HANDGUN
M06347,11/9/2006,2006,25,3234,,D STREET,21,W,M,Y,111,HANDGUN
M06348,11/9/2006,2006,23,2800,W,MASTER STREET,19,B,M,N,111,HANDGUN
M06349,11/10/2006,2006,18,5258,,LOCUST STREET,27,B,M,N,111,HANDGUN
M06350,11/10/2006,2006,39,111,W,MANHEIM STREET,45,B,M,N,111,HANDGUN
M06351,11/11/2006,2006,12,2114,S,DAGGETT STREET,19,B,M,N,111,HANDGUN
M06352,11/11/2006,2006,18,1412,S,HANSON STREET,56,B,M,N,111,HANDGUN
M06353,11/11/2006,2006,19,216,N,SALFORD STREET,17,B,M,N,111,HANDGUN
M06354,11/11/2006,2006,12,5651,,BROOMALL STREET,21,B,M,N,111,HANDGUN
M06355,11/13/2006,2006,22,1920,N,"22ND STREET,1ST",37,B,F,N,111,HANDGUN
M06356,11/14/2006,2006,25,3200,N,RANDOLPH STREET,20,W,M,Y,111,HANDGUN
M06357,11/14/2006,2006,18,732,S,60TH STREET,55,B,M,N,111,HANDGUN
M06358,11/16/2006,2006,19,5381,,HAZELHURST STRE,18,B,M,N,111,HANDGUN
M06359,11/16/2006,2006,12,5200,,CHESTER AVENUE,22,B,M,N,111,HANDGUN
M06360,11/18/2006,2006,19,5014,W,THOMPSON,26,B,M,N,111,HANDGUN
M06361,11/18/2006,2006,39,3100,N,28TH STREET,25,B,M,N,111,HANDGUN
M06362,11/18/2006,2006,19,933,N,66TH STREET,20,B,M,N,111,HANDGUN
M06363,11/20/2006,2006,12,6206,,WOODLAND AVE,28,B,M,N,111,HANDGUN
M06365,11/24/2006,2006,02,5700,,SUMMERDALE AVEN,17,B,M,N,111,HANDGUN
M06366,11/25/2006,2006,15,2602,,LEFEVRE STREET,26,W,M,N,111,HANDGUN
M06367,11/25/2006,2006,15,6115,,HEGERMAN STREET,38,W,M,N,111,HANDGUN
M06369,11/25/2006,2006,19,5501,,POPLAR STREET,25,B,M,N,111,HANDGUN
M06371,11/29/2006,2006,23,2344,W,MONTGOMERY AVEN,27,B,M,N,111,HANDGUN
M06373,12/2/2006,2006,14,537,E,QUEEN LANE,72,B,M,N,111,HANDGUN
M06374,12/2/2006,2006,02,821,,FANSHAWE STREET,41,A,M,N,111,HANDGUN
M06375,12/3/2006,2006,18,5700,,WALNUT STREET,34,B,M,N,111,HANDGUN
M06376,12/5/2006,2006,16,3206,,MANTUA AVENUE,24,B,M,N,111,HANDGUN
M06377,12/5/2006,2006,24,1946,E,ONTARIO STREET,19,B,M,N,111,HANDGUN
M06378,12/6/2006,2006,23,1719,N,WOODSTOCK STREE,17,B,M,N,111,HANDGUN
M06379,12/8/2006,2006,01,1550,,MCKEAN STREET,29,B,M,N,111,HANDGUN
M06381,12/9/2006,2006,24,2100,E,ELKHART STREET,30,B,M,N,111,HANDGUN
M06382,12/10/2006,2006,26,2600,N,3RD STREET,24,W,M,Y,111,HANDGUN
M06383,12/10/2006,2006,25,3412,,E STREET,18,B,M,N,111,HANDGUN
M06384,12/10/2006,2006,25,3412,,E STREET,18,B,M,N,111,HANDGUN
M06385,12/12/2006,2006,39,1700,W,CAYUGA STREET,17,B,M,N,111,HANDGUN
M06386,12/13/2006,2006,19,6001,,SUMMER STREET,20,B,M,N,111,HANDGUN
M06387,12/13/2006,2006,22,2700,,SEDGLEY AVENUE,24,B,M,N,111,HANDGUN
M06388,12/14/2006,2006,14,7100,,OGONTZ AVENUE,19,B,M,N,111,HANDGUN
M06389,12/14/2006,2006,14,1982,,RENOVO STREET,19,B,M,N,111,HANDGUN
M06393,12/17/2006,2006,19,5280,,PARKSIDE AVENUE,27,B,M,N,111,HANDGUN
M06394,12/18/2006,2006,03,1226,S,3RD STREET,29,B,M,N,111,HANDGUN
M06396,12/23/2006,2006,06,800,W,CALLOWHILL STRE,25,B,M,N,111,HANDGUN
M06397,12/23/2006,2006,15,2101,,STEVENS STREET,43,W,M,N,111,HANDGUN
M06398,12/24/2006,2006,06,1300,,PARRISH STREET,20,B,M,N,111,HANDGUN
M06399,12/24/2006,2006,18,3940,,MARKET STREET,23,B,M,N,111,HANDGUN
M06400,12/24/2006,2006,18,4821,,WALNUT ST,23,B,M,N,111,HANDGUN
M06401,12/24/2006,2006,12,5100,,WOODLAND AVENUE,24,B,M,N,111,HANDGUN
M06402,12/25/2006,2006,17,1415,S,21ST STREET,37,B,M,N,111,HANDGUN
M06403,12/26/2006,2006,18,5300,,DELANCEY,23,B,M,N,111,HANDGUN
M06404,12/28/2006,2006,22,1700,W,DAUPHIN STREET,46,B,M,N,111,HANDGUN
M06405,12/29/2006,2006,15,4607,,FRANKFORD AVENU,34,B,M,N,111,HANDGUN
M06179,6/27/2006,2006,15,4829,,MULBERRY STREET,23,B,M,N,111,HANDUGUN
M06052,3/2/2006,2006,19,1400,N,55TH ST,18,B,M,N,111,UNKNOWN
M07244,7/29/2007,2007,92,3400,,STRAWBERRY MANS,47,B,F,N,116,
M07245,7/30/2007,2007,17,1533,S,OPAL STREET,1,B,M,N,116,
M07024,1/13/2007,2007,35,5701,,KEMBLE AVENUE,21,B,F,Y,116,CORD
M07304,9/22/2007,2007,24,2913,,ROSEHILL STREET,71,W,M,Y,116,FIRE
M07383,12/15/2007,2007,09,1836,,GREEN STREET,77,B,M,N,116,FIRE
M07053,2/21/2007,2007,12,1218,S,50TH STREET,1,B,M,N,116,HANDS
M07016,1/11/2007,2007,12,5851,,PENTRIDGE STREE,43,B,F,N,116,LANYARD
M07041,2/12/2007,2007,02,619,,ALLENGROVE STRE,82,W,F,N,116,ROPE
M07072,3/8/2007,2007,08,8223,,ROOSEVELT BLVD,52,B,M,N,116,TABLE LEG
M07376,12/8/2007,2007,08,8301,,STATE ROAD,47,B,M,N,116,TOWEL
M07212,7/6/2007,2007,14,800,E,CHELTEN AVENUE,40,B,M,N,116,UMBRELLA
M07065,3/3/2007,2007,25,404,E,WYOMING AVENUE,37,A,M,N,116,UNKNOWN
M07101,3/31/2007,2007,24,3061,,TRENTON STREET,40,W,F,N,116,UNKNOWN
M07393,12/27/2007,2007,22,2540,N,SYDENHAM STREET,32,B,F,N,116,UNKNOWN
M07363,11/20/2007,2007,25,2801,,GERMANTOWN AVE,33,B,F,N,116,VEHICLE
M07241,7/28/2007,2007,19,3800,,CONSHOHOCKEN AV,24,A,F,N,115,BOARD
M07280,8/31/2007,2007,08,8030,,DITMAN STREET,41,W,M,N,115,FISTS
M07302,9/20/2007,2007,25,4348,N,8TH STREET,44,W,F,Y,115,HAMMER
M07227,7/19/2007,2007,02,1344,,GREEBY STREET,69,A,M,N,115,HANDS
M07052,2/21/2007,2007,04,2132,S,ISEMINGER STREE,82,W,F,N,115,HANDS
M07061,2/27/2007,2007,16,4113,,WARREN STREET,40,W,F,N,115,HANDS
M07186,6/18/2007,2007,18,241,S,49TH STREET,27,W,M,N,115,HANDS
M07275,8/28/2007,2007,08,9449,,LANSFORD STREET,3,B,M,N,115,HANDS
M07336,10/30/2007,2007,04,1809,S,13TH STREET,21,W,M,N,115,HANDS
M07034,2/2/2007,2007,25,800,W,INDIANA AVENUE,46,W,M,N,115,HANDS/FEET
M07147,5/12/2007,2007,26,170,W,MASTER STREET,19,W,M,N,115,PIPE
M07014,1/9/2007,2007,25,2767,N,MASCHER STREET,79,W,M,Y,115,UNKNOWN
M07022,1/14/2007,2007,15,3004,,FANSHAWE STREET,35,B,F,N,115,UNKNOWN
M07199,6/25/2007,2007,16,3800,,OLIVE STREET,47,B,M,N,115,UNKNOWN
M07221,7/15/2007,2007,25,900,W,LEHIGH AVENUE,55,B,M,N,115,UNKNOWN
M07279,8/29/2007,2007,23,1237,N,16TH STREET,55,B,M,N,115,UNKNOWN
M07374,12/6/2007,2007,14,5700,,GERMANTOWN AVEN,48,B,M,N,115,UNKNOWN
M07142,5/10/2007,2007,14,7701,,OGONTZ,49,B,M,N,114,ICEPICK
M07228,7/21/2007,2007,25,1334,W,VENANGO STREET,17,B,M,N,114,KNIFE
M07306,9/25/2007,2007,18,5820,,OSAGE AVENUE,60,B,M,N,114,KNIFE
M07008,1/5/2007,2007,14,6000,,BAYNTON STREET,16,B,M,N,114,KNIFE
M07050,2/18/2007,2007,12,5546,,PENTRIDGE STREE,35,B,M,N,114,KNIFE
M07116,4/17/2007,2007,07,2100,,KULBACH STREET,18,W,F,N,114,KNIFE
M07131,4/26/2007,2007,04,2129,S,7TH STREET,40,A,F,N,114,KNIFE
M07132,4/26/2007,2007,04,2129,S,7TH STREET,47,A,F,N,114,KNIFE
M07164,5/28/2007,2007,08,3886,,LINDEN AVENUE,78,W,M,N,114,KNIFE
M07174,6/7/2007,2007,18,5846,,RODMAN STREET,52,B,M,N,114,KNIFE
M07203,6/29/2007,2007,19,549,N,HOBART STREET,83,B,M,N,114,KNIFE
M07215,7/11/2007,2007,18,5014,,CEDAR AVENUE,16,B,M,N,114,KNIFE
M07243,7/28/2007,2007,25,3404,N,10TH STREET,58,B,M,N,114,KNIFE
M07250,8/2/2007,2007,22,2332,N,GRATZ STREET,60,B,M,N,114,KNIFE
M07256,8/12/2007,2007,22,2540,,RIDGE DRIVE,31,B,F,N,114,KNIFE
M07263,8/17/2007,2007,24,819,E,WILLARD STREET,29,B,M,N,114,KNIFE
M07269,8/23/2007,2007,17,2440,,KIMBALL STREET,26,B,M,N,114,KNIFE
M07277,8/29/2007,2007,35,1427,,CONLYN STREET,30,B,F,N,114,KNIFE
M07286,9/1/2007,2007,17,1405,,REED STREET,31,W,F,Y,114,KNIFE
M07294,9/9/2007,2007,24,2700,,KENSIINGTON AVE,36,W,M,N,114,KNIFE
M07296,9/10/2007,2007,01,1432,,PORTER STREET,19,W,M,N,114,KNIFE
M07299,9/14/2007,2007,22,2200,W,DIAMOND STREET,17,B,M,N,114,KNIFE
M07315,10/7/2007,2007,02,1325,,GREEBY STREET,19,B,M,N,114,KNIFE
M07322,10/17/2007,2007,15,4416,,WALN STREET,68,B,M,N,114,KNIFE
M07335,10/29/2007,2007,02,713,,GARLAND STREET,44,A,F,N,114,KNIFE
M07356,11/16/2007,2007,01,2067,,MERCY STREET,42,B,F,N,114,KNIFE
M07367,11/25/2007,2007,39,136,W,LOGAN STREET,23,B,M,N,114,KNIFE
M07368,11/26/2007,2007,17,1226,S,NAPA STREET,15,B,M,N,114,KNIFE
M07379,12/11/2007,2007,01,1945,S,MOLE STREET,62,A,M,N,114,KNIFE
M07020,1/13/2007,2007,22,2421,N,PATTON STREET,58,B,M,N,114,UNKNOWN
M07149,5/14/2007,2007,15,4717,,FISHERS LANE,25,B,M,N,113,SHOTGUN
M07151,5/17/2007,2007,16,4140,,PENNSGROVE STRE,53,B,M,N,113,SHOTGUN
M07265,8/17/2007,2007,39,1604,,SAINT PAUL STRE,45,B,F,N,113,SHOTGUN
M07350,11/7/2007,2007,35,400,W,SPENCER STREET,44,W,M,Y,113,SHOTGUN
M07042,2/12/2007,2007,01,5131,S,11TH STREET,41,B,M,N,112,RIFLE
M07043,2/12/2007,2007,01,5131,S,11TH STREET,46,B,M,N,112,RIFLE
M07044,2/12/2007,2007,01,1153,S,11TH STREET,42,W,M,N,112,RIFLE
M07107,4/8/2007,2007,18,6048,,MARKET STREET,19,B,M,N,112,RIFLE
M07297,9/14/2007,2007,24,1856,E,CORNWALL STREET,48,B,M,N,112,RIFLE
M07030,1/30/2007,2007,04,2215,S,6TH STREET,21,B,M,N,111,GUN
M07032,1/31/2007,2007,25,03300,,F STREET,25,B,M,N,111,GUN
M07293,9/8/2007,2007,02,6053,,CASTOR AVENUE,29,B,M,N,111,HANDGUIN
M07036,2/8/2007,2007,02,994,,ANCHOR STREET,31,W,M,Y,111,HANDGUN
M07037,2/9/2007,2007,12,5857,,HOFFMAN AVENUE,25,B,M,N,111,HANDGUN
M07038,2/10/2007,2007,06,717,,ARCH STREET,24,B,M,N,111,HANDGUN
M07039,2/11/2007,2007,19,1800,,GEORGES LANE,36,B,M,N,111,HANDGUN
M07040,2/11/2007,2007,24,2841,N,ROSEHILL STREET,48,W,M,Y,111,HANDGUN
