CaseNumber,Date,Year,District,Location,LocationDir,LocationStreet,Age,Race,Sex,Hispanic,UCR,Weapon
M00013,1/11/2000,2000,39,01700,W,ALLEGHENY,19,B,F,N,111,HANDGUN
M00014,1/11/2000,2000,19,00712,,JUNE,24,B,M,N,111,HANDGUN
M00017,1/14/2000,2000,25,00300,W,CAMBRIA,22,W,M,Y,111,HANDGUN
M00018,1/16/2000,2000,19,04634,,WESTMINSTER,43,B,M,N,111,HANDGUN
M00020,1/17/2000,2000,15,06601,,ERDRICK,50,W,M,N,111,HANDGUN
M00021,1/17/2000,2000,16,04100,,POWELTON,20,B,M,N,111,HANDGUN
M00026,1/22/2000,2000,04,00419,,TREE,26,B,F,N,111,HANDGUN
M00027,1/22/2000,2000,22,02218,W,DIAMOND,22,B,M,N,111,HANDGUN
M00029,1/26/2000,2000,12,06538,,GUYER,31,W,M,N,111,HANDGUN
M00030,1/29/2000,2000,23,01539,N,MYRTLEWOOD,32,B,M,N,111,HANDGUN
M00031,1/28/2000,2000,23,03200,W,TURNER,36,B,M,N,111,HANDGUN
M00032,1/29/2000,2000,09,01500,,FAIRMOUNT,22,B,M,N,111,HANDGUN
M00033,1/29/2000,2000,26,02400,N,MASCHER,29,W,M,Y,111,HANDGUN
M00034,1/30/2000,2000,06,00714,,FILBERT,23,B,M,N,111,HANDGUN
M00036,2/1/2000,2000,16,04200,,ASPEN,37,A,M,N,111,HANDGUN
M00037,2/2/2000,2000,26,01500,,BEACH,27,B,M,N,111,HANDGUN
M00038,2/2/2000,2000,35,01101,W,SOMMERVILLE,60,A,M,N,111,HANDGUN
M00043,2/6/2000,2000,35,01410,W,72ND,17,B,M,N,111,HANDGUN
M00046,2/9/2000,2000,22,02363,N,COLORADO,29,B,M,N,111,HANDGUN
M00047,2/9/2000,2000,25,03718,N,10TH,20,B,M,N,111,HANDGUN
M00051,2/17/2000,2000,16,03938,,LANCASTER,29,B,M,N,111,HANDGUN
M00053,2/20/2000,2000,39,03001,W,LEHIGH,32,W,M,Y,111,HANDGUN
M00054,2/22/2000,2000,39,03202,,MCMICHAEL,26,B,M,N,111,HANDGUN
M00056,2/24/2000,2000,08,00131,,FRANKLIN MILLS,49,W,F,N,111,HANDGUN
M00057,2/24/2000,2000,08,00131,,FRANKLIN MILLS,46,W,M,N,111,HANDGUN
M00058,2/24/2000,2000,19,06411,,CARLTON,33,B,M,N,111,HANDGUN
M00059,2/28/2000,2000,06,00100,,SPRINGGARDEN,34,B,M,N,111,HANDGUN
M00060,2/28/2000,2000,22,01500,W,SUSQUEHANNA,21,B,M,N,111,HANDGUN
M00062,3/1/2000,2000,14,00100,W,SEYMOUR,37,B,M,N,111,HANDGUN
M00064,3/5/2000,2000,35,06021,N,PARK,39,B,M,N,111,HANDGUN
M00068,3/8/2000,2000,16,04052,,PARKSIDE,57,B,M,N,111,HANDGUN
M00069,3/11/2000,2000,03,00600,,WASHINGTON,19,A,M,N,111,HANDGUN
M00070,3/12/2000,2000,23,02900,W,MASTER,25,B,M,N,111,HANDGUN
M00073,3/15/2000,2000,39,01414,W,ALLEHGENY,29,B,M,N,111,HANDGUN
M00074,3/19/2000,2000,14,04500,N,WADE,23,B,M,N,111,HANDGUN
M00075,3/20/2000,2000,12,06800,,BUIST,24,B,M,N,111,HANDGUN
M00076,3/21/2000,2000,25,01000,W,CLEARFIELD,23,W,M,Y,111,HANDGUN
M00077,3/23/2000,2000,16,03814,,RENO,28,B,M,N,111,HANDGUN
M00080,3/26/2000,2000,22,02520,N,NEWKIRK,21,B,M,N,111,HANDGUN
M00081,3/29/2000,2000,14,04500,,WAYNE,26,B,M,N,111,HANDGUN
M00082,3/30/2000,2000,22,02800,W,LEHIGH,32,B,M,N,111,HANDGUN
M00083,3/31/2000,2000,23,02700,W,MASTER,19,B,M,N,111,HANDGUN
M00084,4/3/2000,2000,14,00468,E,HAINES,21,B,M,N,111,HANDGUN
M00085,4/6/2000,2000,19,04800,,LANCASTER,41,B,M,N,111,HANDGUN
M00086,4/6/2000,2000,17,01700,S,24TH,38,B,M,N,111,HANDGUN
M00087,4/7/2000,2000,25,00700,,PIKE,17,W,M,Y,111,HANDGUN
M00088,3/25/2000,2000,01,01427,,PORTER,32,W,M,N,111,HANDGUN
M00089,4/8/2000,2000,19,05300,,OXFORD,29,B,M,N,111,HANDGUN
M00090,4/8/2000,2000,25,04361,N,09TH,54,W,M,Y,111,HANDGUN
M00093,4/14/2000,2000,22,02600,N,CHADWICK,19,B,M,N,111,HANDGUN
M00095,4/17/2000,2000,35,06300,N,NORWOOD,23,B,M,N,111,HANDGUN
M00096,4/16/2000,2000,25,04837,N,PALETHORPE,41,B,M,N,111,HANDGUN
M00097,4/17/2000,2000,23,01439,N,17TH,19,B,M,N,111,HANDGUN
M00102,4/26/2000,2000,08,03000,,HOLME,16,B,M,N,111,HANDGUN
M00103,4/28/2000,2000,16,00020,N,PAXON,28,B,M,N,111,HANDGUN
M00104,5/2/2000,2000,14,00729,E,CHELTEN,25,B,F,N,111,HANDGUN
M00105,5/4/2000,2000,17,01501,,FEDERAL,42,B,M,N,111,HANDGUN
M00107,5/6/2000,2000,23,01445,N,19TH,34,B,M,Y,111,HANDGUN
M00110,5/11/2000,2000,19,00935,N,65TH ST,37,W,M,N,111,HANDGUN
M00112,5/11/2000,2000,22,02127,N,CORLIES,55,B,M,N,111,HANDGUN
M00113,5/13/2000,2000,19,01200,N,50TH,26,B,M,N,111,HANDGUN
M00114,5/14/2000,2000,24,03257,,KENSINGTON,67,W,M,N,111,HANDGUN
M00116,5/17/2000,2000,35,07608,,OGONTZ,57,B,M,N,111,HANDGUN
M00117,5/18/2000,2000,39,02900,N,18TH,33,B,M,N,111,HANDGUN
M00118,5/18/2000,2000,39,02500,W,STERNER,36,B,M,N,111,HANDGUN
M00119,5/20/2000,2000,12,02523,S,ROBINSON,23,B,M,N,111,HANDGUN
M00120,5/20/2000,2000,12,00757,S,52ND,21,B,M,N,111,HANDGUN
M00123,5/23/2000,2000,22,02220,N,BOUVIER,29,B,M,N,111,HANDGUN
M00126,5/29/2000,2000,01,02126,,MIFFLIN,43,B,F,N,111,HANDGUN
M00128,6/2/2000,2000,26,00935,W,BOSTON,23,B,M,N,111,HANDGUN
M00129,6/3/2000,2000,22,02260,N,COLORADO,20,B,M,N,111,HANDGUN
M00130,6/5/2000,2000,12,06000,,KINGSESSING,26,B,M,N,111,HANDGUN
M00132,6/9/2000,2000,19,00130,N,RUBY,17,B,M,N,111,HANDGUN
M00135,6/10/2000,2000,12,05230,,BEAUMONT,19,B,M,N,111,HANDGUN
M00136,6/10/2000,2000,12,01100,S,PAXON,20,B,M,N,111,HANDGUN
M00137,6/14/2000,2000,12,01500,S,55TH,24,B,M,N,111,HANDGUN
M00141,6/19/2000,2000,24,00919,E,WESTMORELAND,31,B,M,N,111,HANDGUN
M00142,6/19/2000,2000,16,00636,N,BROOKLYN,27,B,M,N,111,HANDGUN
M00143,6/19/2000,2000,08,03332,,ELLISTON CR,25,W,F,N,111,HANDGUN
M00144,6/21/2000,2000,12,05736,,MALCOLM,30,B,F,N,111,HANDGUN
M00145,6/23/2000,2000,24,04638,,H,31,W,M,Y,111,HANDGUN
M00146,6/23/2000,2000,22,02601,N,23RD,34,B,M,N,111,HANDGUN
M00147,6/27/2000,2000,17,01100,S,23RD,29,B,M,N,111,HANDGUN
